时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告
0.26,1.68,17.06,100.0,0.0,15.0,0.0,25.0,3
0.26,1.69,17.40,100.0,0.0,15.0,0.0,25.0,3
0.27,1.90,17.74,100.0,0.0,15.0,0.0,25.0,3
0.27,1.90,18.09,100.0,0.0,15.0,0.0,25.0,3
0.28,1.91,18.43,100.0,0.0,15.1,0.0,25.0,3
0.28,1.91,18.77,100.0,0.0,15.1,0.0,25.0,3
0.29,1.91,19.11,100.0,0.0,15.1,0.0,25.0,3
0.29,1.90,19.46,100.0,0.0,15.1,0.0,25.0,3
0.30,2.42,19.80,100.0,0.0,10.5,0.0,25.0,3
0.30,2.53,20.14,100.0,0.0,12.6,0.0,25.0,3
0.31,2.31,20.49,100.0,0.0,13.9,0.0,25.0,3
0.31,2.02,19.96,100.0,3.0,4.0,-1.2,25.0,4
0.32,1.81,18.52,100.0,5.5,-4.4,-5.3,25.0,4
0.32,1.61,18.74,100.0,-0.5,-3.0,-4.8,25.0,4
0.33,1.44,18.96,100.0,-6.7,0.8,-4.3,25.0,4
0.33,1.28,19.14,100.0,-11.3,5.5,-4.3,25.0,4
0.34,1.11,19.29,100.0,-12.8,5.7,-5.0,25.0,4
0.34,0.92,19.43,100.0,-11.7,15.7,-5.7,25.0,4
0.35,0.72,19.56,100.0,-7.2,21.5,-5.7,25.0,4
0.35,0.52,19.70,100.0,-0.4,23.7,-5.1,25.0,4
0.36,0.32,19.86,100.0,6.5,22.1,-4.4,25.0,4
0.36,0.25,10.27,100.0,12.7,4.9,-5.5,25.0,4
0.37,0.29,10.38,100.0,10.5,-0.7,-6.1,25.0,4
0.37,0.32,10.53,100.0,4.5,-5.8,-5.8,25.0,4
0.38,0.35,10.70,100.0,-3.2,-10.2,-4.9,25.0,4
0.38,0.35,10.88,100.0,-10.9,-4.9,-4.4,25.0,4
0.39,0.29,11.00,100.0,-15.1,2.0,-5.1,25.0,4
0.39,0.31,11.05,100.0,-14.6,10.1,-6.2,25.0,4
0.40,0.30,11.02,100.0,-9.3,18.2,-6.5,25.0,4
0.40,0.27,10.95,100.0,-0.6,23.6,-5.6,25.0,5
0.41,0.25,10.90,100.0,9.0,19.6,-4.4,25.0,5
0.41,0.28,3.47,100.0,8.4,5.4,-6.7,25.0,5
0.42,0.33,3.77,100.0,5.0,-3.7,-8.5,25.0,5
0.42,0.36,3.74,100.0,-2.1,-0.5,-8.1,25.0,5
0.43,0.37,3.81,100.0,-8.6,5.0,-8.0,25.0,5
0.43,0.38,3.83,100.0,-10.1,13.2,-8.7,25.0,5
0.44,0.38,3.72,100.0,-5.1,19.6,-8.9,25.0,5
0.44,0.38,3.52,100.0,3.5,19.5,-8.2,25.0,5
0.45,0.37,3.35,100.0,9.0,12.6,-8.3,25.0,5
0.45,0.37,3.29,100.0,8.4,-6.1,-8.8,25.0,5
0.46,0.44,3.42,100.0,-1.2,-6.2,-8.1,25.0,5
0.46,0.47,3.65,100.0,-11.1,0.1,-7.5,25.0,5
0.47,0.48,3.77,100.0,-13.2,4.5,-8.7,25.0,5
0.47,0.53,3.67,100.0,-7.4,19.1,-9.2,25.0,5
0.48,0.54,3.44,100.0,5.6,17.6,-7.7,25.0,5
0.48,0.56,3.27,100.0,13.8,11.4,-7.7,25.0,5
0.49,0.59,3.18,100.0,13.7,-2.0,-9.2,25.0,5
0.49,0.63,3.28,100.0,2.8,-12.6,-8.6,25.0,5
0.50,0.68,3.54,100.0,-12.4,-10.1,-6.7,25.0,5
0.50,0.73,3.68,99.9,-19.8,1.7,-8.4,25.0,6
0.51,0.79,3.45,99.9,-13.9,18.3,-10.3,25.0,6
0.51,0.84,2.98,99.9,4.0,24.8,-7.6,25.0,6
0.52,0.89,2.59,99.9,20.1,15.0,-6.5,25.0,6
0.52,0.96,2.44,99.9,21.6,-2.5,-10.1,25.0,6
0.53,1.02,2.67,99.9,7.0,-19.2,-9.6,25.0,6
0.53,1.07,3.20,99.9,-16.1,-19.6,-5.1,25.0,6
0.54,1.13,3.48,99.9,-29.5,2.2,-7.8,25.0,6
0.54,1.19,3.36,99.9,-24.0,26.5,-13.2,25.0,6
0.55,1.23,3.35,99.9,1.9,41.0,-8.2,25.0,6
0.55,1.31,4.02,99.9,28.7,25.9,-3.9,25.0,6
0.56,1.45,5.10,99.9,32.5,2.3,-11.6,25.0,6
0.56,1.62,6.57,99.9,13.0,-21.2,-11.9,25.0,6
0.57,1.79,8.27,99.9,-21.6,-20.5,-1.5,25.0,6
0.57,2.01,13.57,99.9,-26.8,9.0,-4.5,25.0,6
0.58,2.10,9.83,99.9,-11.7,23.4,-0.7,25.0,6
0.58,2.11,3.45,99.9,2.7,10.0,3.8,25.0,6
0.59,2.11,3.28,99.9,3.5,12.9,3.8,25.0,6
0.59,2.10,3.13,99.9,3.8,14.2,3.9,25.0,6
0.60,2.07,3.01,99.9,3.7,15.3,3.9,25.0,6
0.60,2.05,2.90,99.9,2.6,8.4,3.8,25.0,6
0.61,2.05,3.51,99.9,5.5,14.7,-1.2,25.0,6
0.61,2.06,4.37,99.9,4.0,16.1,-1.5,25.0,6
0.62,2.06,4.19,99.9,4.5,15.4,-1.6,25.0,6
0.62,2.07,4.01,99.9,4.7,15.5,-1.6,25.0,6
0.63,2.07,3.86,99.9,4.9,14.7,-1.7,25.0,6
0.63,2.07,3.73,99.9,4.8,13.0,-1.7,25.0,6
0.64,2.06,3.62,99.9,4.7,8.5,-1.7,25.0,7
0.64,2.06,3.55,99.9,4.4,4.4,-1.7,25.0,7
0.65,2.06,3.50,99.9,3.9,5.1,-1.7,25.0,7
0.65,2.06,3.48,99.9,3.1,7.2,-1.7,25.0,7
0.66,2.05,3.49,99.9,2.4,5.7,-1.7,25.0,7
0.66,2.04,3.87,99.9,0.9,3.0,-1.8,25.0,7
0.67,2.02,3.95,99.9,-0.0,5.2,-1.8,25.0,7
0.67,2.01,4.06,99.9,-1.0,7.0,-1.7,25.0,7
0.68,1.99,4.20,99.9,-1.7,3.5,-1.7,25.0,7
0.68,1.97,4.35,99.9,-2.5,2.5,-1.7,25.0,7
0.69,1.95,4.51,99.9,-3.2,4.9,-1.7,25.0,7
0.69,1.92,4.69,99.9,-4.0,9.1,-1.7,25.0,7
0.70,1.91,3.20,99.9,-2.4,11.1,-0.5,25.0,7
0.70,1.90,3.44,99.9,-2.6,11.4,-0.7,25.0,7
0.71,1.90,3.76,99.9,-2.7,11.6,-0.7,25.0,7
0.71,1.89,3.92,99.9,-2.8,7.9,-0.7,25.0,7
0.72,1.88,4.09,99.9,-2.8,8.9,-0.7,25.0,7
